name,brand,category,address,lat,lng,phone
하나프러스,,HYPERMARKET,대구광역시 북구 팔달로 183,35.88558579,128.57258774,
홈플러스 칠곡IC점,홈플러스,HYPERMARKET,대구광역시 북구 관음동 1369,35.93224836,128.54255146,053 3203000
(주)홈플러스 칠곡점,홈플러스,HYPERMARKET,대구광역시 북구 동암로12길 8,35.94185774,128.55816404,053-607-8000
신세계이마트 칠성점,,HYPERMARKET,대구광역시 북구 침산로 93,35.88191610,128.59231690,053 6091052
(주)스펙트럼시티,,HYPERMARKET,대구광역시 북구 침산로 93,35.88191610,128.59231690,213-6011
EXCO Mall,,HYPERMARKET,대구광역시 북구 엑스코로 10,35.90401909,128.61534074,6015057
한신공영(주),,HYPERMARKET,대구광역시 북구 동암로 90,35.94111851,128.56255528,053-310-8891
홈플러스(주)익스프레스 구암2점,홈플러스,HYPERMARKET,대구광역시 북구 구암로32길 6-10,35.92822029,128.55924729,053-326-8545
롯데백화점 대구점,,HYPERMARKET,대구광역시 북구 태평로 161,35.87280306,128.59813651,0536601610
(주)이마트 칠성점,,HYPERMARKET,대구광역시 북구 침산로 93,35.88191610,128.59231690,053 6091050
롯데쇼핑(주)롯데슈퍼 복현점,롯데슈퍼,HYPERMARKET,대구광역시 북구 검단로 8,35.89493977,128.61782601,053-381-5602
이랜드리테일 NC 중앙로역점,,HYPERMARKET,대전광역시 중구 중앙로 141,36.32582132,127.42745093,718-2422
코스트코 홀세일 대전점,코스트코,HYPERMARKET,대전광역시 중구 오류로 41,36.32105450,127.40561870,042 539 1060
홈플러스(주) 문화점,홈플러스,HYPERMARKET,대전광역시 중구 계백로 1690,36.31730252,127.40985133,042 226 2080
홈플러스(주)익스프레스 오류점,홈플러스,HYPERMARKET,대전광역시 중구 계룡로 858,36.32127237,127.41197232,042 525 8848
홈플러스(주)익스프레스 유천점,홈플러스,HYPERMARKET,대전광역시 중구 평촌로 58,36.31824375,127.39571514,042 528 8543
롯데쇼핑(주)롯데마트화명점,롯데마트,HYPERMARKET,부산광역시 북구 화명대로 47 (화명동,35.23209488,129.01524752,051-604-2552
(주)메가마트 덕천점,,HYPERMARKET,부산광역시 북구 기찰로 164,35.21109430,129.02469608,241-6000
(주) 지에스리테일 구포점,,HYPERMARKET,부산광역시 북구 낙동대로1780번길 106,35.20269091,129.00586380,342-1114
(주)지에스리테일 만덕점,,HYPERMARKET,부산광역시 북구 덕천로 188,35.20719463,129.02651473,711-7100
탑마트 구포점,,HYPERMARKET,부산광역시 북구 백양대로 1052,35.19595102,128.99923919,051-331-3000
마트월드,,HYPERMARKET,부산광역시 사상구 낙동대로 910,35.13876694,128.97322657,051-310-0701
홈플러스(주)서부산점,홈플러스,HYPERMARKET,부산광역시 사상구 광장로 7,35.16120756,128.98006210,051-609-8094
성황리마트,,HYPERMARKET,부산광역시 사상구 대동로 95,35.13536410,128.98008252,051 3121500
(주)르네시떼,,HYPERMARKET,부산광역시 사상구 광장로 7,35.16120756,128.98006210,051 3195000
(주)이마트 사상점,,HYPERMARKET,부산광역시 사상구 광장로 17,35.16108342,128.98112691,051 329 1053
(주)미래도시(경동윈츠빌),,HYPERMARKET,부산광역시 사상구 냉정로 120,35.14626835,129.01554151,051 3221871
홈플러스(주)익스프레스모라점,홈플러스,HYPERMARKET,부산광역시 사상구 모라로 116,35.18271900,128.99449484,0513282862
홈플러스(주) 안동점,홈플러스,HYPERMARKET,경상북도 안동시 경동로 656,36.55965058,128.73179659,0548408300
(주)이마트 안동점,,HYPERMARKET,경상북도 안동시 옥동1길 2,36.55557076,128.70163011,054 850 1250
롯데마트 울산점,롯데마트,HYPERMARKET,울산광역시 남구 삼산로 74,35.53053701,129.31808585,052 228 2511
GS슈퍼 울산옥동점,,HYPERMARKET,울산광역시 남구 문수로 385,35.53164154,129.29787144,052-256-8441
(주)지에스리테일 울산신정점,,HYPERMARKET,울산광역시 남구 동산로29번길 4-0,35.53327580,129.30161717,02-2006-2422
홈플러스 주식회사 울산남구점,홈플러스,HYPERMARKET,울산광역시 남구 수암로 148,35.52334772,129.32509478,052 270 8124
